N,Зарын гарчиг,Нийт үнэ 0,Огноо,Цаг,Зарын дугаар,Утасны дугаар,Өрөө,Дүүрэгт байршил,Тайлбар,url,Шал:,Тагт:,Ашиглалтад орсон огноо,Гараж:,Цонх:,Барилгын давхар,Хаалга:,М2 0,Байрны давхар,Лизингээр авах боломж,Цонхны тоо,Барилгын явц:,ad_page,ad_order,Байршил 2,mylocation,Хотхоны ID,Хотхоны нэр,Дэд байршил,Lat,Long,Дүүрэг,Байршил,Хороо,Нийт үнэ,М2,М2 үнэ
724,Сбд дөлгөөн нуур баянбүрд residense гал тогоо тусдаа 2 өрөө,160 сая ₮,3/25/2024,13:39,8076302,,2 өрөө,"УБ — Сүхбаатар, Дөлгөөн нуур",,https://www.unegui.mn/adv/8076302_sbd-dolgoon-nuur-baianburd-residense-gal-togoo-tusdaa-2-oroo/,Паркет,1 тагттай,2022,Байхгүй,Вакум,16,Бүргэд,43.86 м²,9,Лизинггүй,2,Ашиглалтад орсон,13,23,,Дөлгөөн нуур,,,,,,Сүхбаатар,Дөлгөөн нуур,,160,43.86,3.647970816
725,Баянзүрх дүүрэг 26р хороо санто апартмент-д 4 өрөө,"518.7 сая ₮
үнэ тохирно",3/25/2024,13:40,7980824,,4 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26","
📍БЗД 26 хороо Santo Smart apartment 123.5 мкв 4 өрөө орон сууц худалдана. Зохион байгуулалт сайтай, цэвэрхэн байр байна шүү🤞

-Үнэ мкв 4.200.000₮
-Нийт үнэ 518.700.000₮
-123.5 мкв
-16/14 давхарт
-Зүүн 3,Хойшоо 2 цонхтой
-2 ариун цэврийн өрөөтэй
-2 тагттай
-угаалгын өрөөтэй",https://www.unegui.mn/adv/7980824_baianzurkh-duureg-26r-khoroo-santo-apartment-d-mash-goio-kharuutstai-4-oroo-khudaldana/,Паркет,2 тагттай,2022,Байхгүй,Вакум,16,Төмөр,123.5 м²,14,Банкны лизингтэй,5,Ашиглалтад орсон,13,19,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,518.7,123.5,4.2
726,"Худ, 15-р хороо, токио таун 2 хотхонд 3 өрөө орон сууц",602.26 сая ₮,3/25/2024,13:41,8154054,,3 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15","
🏢 ХУД, 15-р хороо, Токио Таун 2 хотхонд 3 өрөө орон сууц худалдана
💰 Үнэ : 5,700,000 / 602,262,000
▫105.66 мкв | Дундуур давхарт | Баруун & зүүн харсан
▫ Үзэгдэх орчин сайнтай
▫ Улсын сургууль цэцэрлэгтэй
▫ Одоо ашиглалтанд орж байгаа.",https://www.unegui.mn/adv/8154054_khud-15-r-khoroo-tokio-taun-2-khotkhond-3-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,105.66 м²,10,Лизинггүй,4,Ашиглалтад ороогүй,13,18,,Зайсан хойно,,,,,,Хан-Уул,Хороо 15,15,602.26,105.66,5.699981071
727,"Яармаг, шүншиг вилла-2 хотхонд 3 өрөө","225 сая ₮
үнэ тохирно",3/25/2024,13:42,8086370,,3 өрөө,"УБ — Хан-Уул, Яармаг","
Яармаг, Шүншиг вилла-2 хотхонд 3 өрөө орон сууц худалдана.

📍Байршил: ХУД, 24-р хороо, Яармаг, Бритиш суруулийн баруун талд Шүншиг вилла-2

✅ 14/12 давхарт | 64.3 м.кв | 3 өрөө
💰 Нийт үнэ: 225,000,000₮;
💵 М.кв үнэ: 3,500,000 ₮;

✅ Төлбөрийн нөхцөл:
✔️ Бэлэн төлөлт;
✔️ Банкны зээлээр худалдан авах боломжтой;

🗓️ 2021 онд ашиглалтад орсон;
☑️ Цонхны байрлал: Хойшоо-1, Зүүн-2 харсан;",https://www.unegui.mn/adv/8086370_iaarmag-shunshig-villa-2-khotkhond-3-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2021,Байхгүй,Вакум,14,Бүргэд,64.3 м²,12,Банкны лизингтэй,3,Ашиглалтад орсон,13,13,,Яармаг,,,,,,Хан-Уул,Яармаг,,225,64.3,3.499222395
728,Бгд-н дэргэд 3 өрөө,250 сая ₮,3/25/2024,13:42,8154273,,3 өрөө,"УБ — Баянгол, Ханбүргэдэй","
Төмөр зам, БГД-н зүүн талд саарал 5 давхар байранд бүрэн засвар хийсэн 3 өрөө худалдана. Цонхны харууц урагшаа 3, хойшоо 1. Хуучны 40м2, одооны 72м2 орчим.",https://www.unegui.mn/adv/8154273_bgd-n-derged-3-oroo/,Паркет,1 тагттай,1990,Байхгүй,Вакум,5,Бүргэд,40.0 м²,5,Лизинггүй,4,Ашиглалтад орсон,13,14,,,,,,,,Баянгол,Ханбүргэдэй,,250,40,6.25
729,"Бзд, 5-хороо, поларис-3 2өрөө орон сууц","110 сая ₮
үнэ тохирно",3/25/2024,13:42,8154281,,2 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 5","
Тарвилан хотхоны зүүн талд ПОЛАРИС-3 АПАРТМЕНТ-д
2өрөө орон сууцны захиалгын гэрээ шилжүүлнэ
2024 онд ашиглалтад орно
Үнэ: 110сая
Бэлэн мөнгөнд бага зэрэг ярилцана
Бартерт: 50сая хүртэлх үнийн дүнд машин оролцуулж болно",https://www.unegui.mn/adv/8154281_bzd-5-khoroo-polaris-3-2oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,53.92 м²,4,Лизинггүй,2,Ашиглалтад ороогүй,13,15,,Жуков,,,,,,Баянзүрх,Хороо 5,5,110,53.92,2.040059347
730,яармаг 2 өрөө,165 сая ₮,3/25/2024,13:42,8154301,,2 өрөө,"УБ — Хан-Уул, Яармаг","
Яармагт Ирээдүйн билэг хотхонд шинээр ашиглалтанд орсон 57.39м.кв 2 өрөө орон сууц худалдана.
Үнэ: 165.000.000 төгрөг
16/6 давхарт
Урагшаа харууцтай
Улсын комиссын акт гарсан
Гэрчилгээ гарахад бэлэн",https://www.unegui.mn/adv/8154301_khudaldana/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,57.39 м²,6,Банкны лизингтэй,2,Ашиглалтад орсон,13,16,,Яармаг,,,,,,Хан-Уул,Яармаг,,165,57.39,2.875065342
731,Яармагт хан вилла хотхонд 39м2 1 өрөө,108 сая ₮,3/25/2024,13:42,8154304,,1 өрөө,"УБ — Хан-Уул, Яармаг",,https://www.unegui.mn/adv/8154304_iaarmagt-khan-villa-shine-khotkhond-39m2-1-oroo/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,39.0 м²,11,Лизинггүй,2,Ашиглалтад орсон,13,17,,Яармаг,,,,,,Хан-Уул,Яармаг,,108,39,2.769230769
732,Ханхиллс хотхонд 106мкв бүхий 3 өрөө,"530 сая ₮
үнэ тохирно",3/25/2024,13:43,8018318,,3 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 11","
#𝐊𝐡𝐚𝐧_𝐇𝐢𝐥𝐥𝐬 хотхонд 106 м.кв 3 өрөө орон сууцыг автозогсоолын хамт #худалдана.

📍Байршил: ХУД, 11-р хороо, Маршалын гүүрний баруун талд, Ривер гарден болон Time square хотхоны баруун талд.

✅ 14/4+ давхарт | 106 м.кв | 3 өрөө;
💰 Нийт үнэ: 530,000,000 ₮;
💵 М.кв үнэ: 5,000,000;
🅿️ 1ш дулаан зогсоол: 45 сая ₮;

✔️ Гэрчилгээ суллахад бэлэн;
✔️ Цонхны байрлал: Зүүн харсан;
✅ Төлбөрийн нөхцөл:
✔️ Бэлэн төлөлт
✔️ Банкны энгийн орон сууцны зээлээр худалдан авах боломжтой;
✅ Нэмэлт мэдээлэл:
✔️ Зочны өрөө, гал тогоо, Мастер унтлагын өрөө, Хүүхдийн унтлагын өрөө, 2 ариун цэврийн өрөө, Хувцасны өрөө, Үүдний хэсэг, 1 тагттай;
✔️ Өрөөний зохион байгуулалт сайтай;
✔️ Хотхондоо фитнесс болон спорт комплекстой;
✔️ Европын чанартай брэндүүдээр тоноглосон;
✔️ Хүүхдийн тоглоомын талбай, ногоон байгууламж сайтай;
✔️ 24/7 харуул хамгаалалт, гэрэлтүүлэг сайтай;
✔️ Гадна зогсоолын хүрэлцээ сайтай;",https://www.unegui.mn/adv/8018318_khankhills-khotkhond-106mkv-bukhii-3-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2018,Байгаа,Вакум,14,Бүргэд,106.0 м²,5,Банкны лизингтэй,4,Ашиглалтад орсон,13,12,,Зайсан,,,,,,Хан-Уул,Хороо 11,11,530,106,5
733,2 өрөө орон сууц,3 сая ₮,3/25/2024,13:44,8154313,,2 өрөө,"УБ — Хан-Уул, 19-р хороолол","
Ашиглалтад оросн байранд, 1 давхрын 43,1 м2 2 өрөө орон сууц худалдана. Урьдчилгаа 50% төлөөд 5 сарын хугацаатай, сарын 0,5%-ийн хүүтэй лизингээр авах боломжтой.",https://www.unegui.mn/adv/8154313_belen-oron-suuts-khudaldana/,Паркет,1 тагттай,2022,Байхгүй,Вакум,12,Бүргэд,43.1 м²,1,Хувь лизингтэй,2,Ашиглалтад орсон,13,10,,19-р хороолол,,,,,,Хан-Уул,19-р хороолол,,3,43.1,0.069605568
734,19 хороололд 83.41мкв 3 өрөө байр,291.94 сая ₮,3/25/2024,13:44,8154315,,3 өрөө,"УБ — Хан-Уул, 19-р хороолол",,https://www.unegui.mn/adv/8154315_19-khoroolold-83-41mkv-3-oroo-khudaldana/,Паркет,1 тагттай,2017,Байхгүй,Вакум,16,Бүргэд,83.41 м²,4,Лизинггүй,4,Ашиглалтад орсон,13,11,,19-р хороолол,,,,,,Хан-Уул,19-р хороолол,,291.94,83.41,3.500059945
735,Бзд буянт од хотхонд 53м2 2өрөө байр,"155 сая ₮
үнэ тохирно",3/25/2024,13:45,8135683,,2 өрөө,"УБ — Баянзүрх, 14-р хороолол","
Зүүн харсан цонхтой Бүрэн цутгамал хийцлэлтэй 2 өрөө байр",https://www.unegui.mn/adv/8135683_shuud-orokh-borluulaltaas-khiamd/,Паркет,1 тагттай,2023,Байгаа,Вакум,7,Бүргэд,53.37 м²,7,Лизинггүй,3,Ашиглалтад орсон,13,7,,"Жуков, Халдварт, Өгөөмөр",,,,,,Баянзүрх,14-р хороолол,,155,53.37,2.904253326
736,Olympic residence 5 өрөө 373мкв,"3.5 Тэрбум ₮
үнэ тохирно",3/25/2024,13:45,7762621,,5+ өрөө,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1","
Olympic residence 5 өрөө орон сууц худалдана
7 давхарт
Урагш баруун харсан цонхууд
373м2
3 угаалгын өрөө
Заслын мөнгө хасч болно",https://www.unegui.mn/adv/7762621_olympic-residence-5-oroo/,Паркет,Тагтгүй,2021,Байхгүй,Вакум,16,Төмөр,373.0 м²,7,Хувь лизингтэй,6,Ашиглалтад орсон,13,8,,Талбай,,,,,,Сүхбаатар,Хороо 1,1,3500,373,9.383378016
737,"3,4 хороололд 2өрөө байр",254 сая ₮,3/25/2024,13:45,8154294,,2 өрөө,"УБ — Баянгол, 3, 4 хороолол","
3,4хороолол модны 2зам дагуу нар харууцтай сэлүүхэн 2өрөө байр зарна.",https://www.unegui.mn/adv/8154294_3-4-khoroolold-2oroo-bair/,Паркет,Тагтгүй,2021,Байхгүй,Вакум,16,Бүргэд,79.54 м²,4,Лизинггүй,3,Ашиглалтад орсон,13,9,,"3, 4 хороолол",,,,,,Баянгол,"3, 4 хороолол",,254,79.54,3.193361831
738,40 мянгат 3 өрөө орон сууц,195 сая ₮,3/25/2024,13:46,8074064,,3 өрөө,"УБ — Чингэлтэй, 50 мянгат","
🤩 ЧД 2-р хороо, 40 мянгатад 3 өрөө орон сууц худалдана.

🔆 51м2
🔆 засвар хийсэн
🔆 2 өрөөг 3 өрөө болгосон
🔆 4/3 давхарт
🔆 зүүн харсан цонхууд

📍 компьютер ландийн баруун талын зам дагуу байр
💰 195 сая",https://www.unegui.mn/adv/8074064_40-miangat-3-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,1988,Байхгүй,Вакум,4,Төмөр,51.0 м²,3,Лизинггүй,4,Ашиглалтад орсон,13,5,,,,,,,,Чингэлтэй,50 мянгат,,195,51,3.823529412
739,Ривер гарден хотхонд 161 мкв 4 өрөө байр,"1.2 Тэрбум ₮
үнэ тохирно",3/25/2024,13:46,8018093,,4 өрөө,"УБ — Хан-Уул, River Garden",,https://www.unegui.mn/adv/8018093_river-garden-khotkhond-161-mkv-4-oroo-bair-zarna/,Паркет,2 тагттай,2017,Байгаа,Вакум,16,Төмөр вакум,161.0 м²,4,Лизинггүй,5,Ашиглалтад орсон,13,6,,Маршал,,,,,,Хан-Уул,River Garden,,1200,161,7.453416149
740,Түмэн амгалан хотхонд орон сууц 2 өрөө,3.2 сая ₮,3/25/2024,13:47,8057158,,2 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 12","
2024 оны 2-р улиралд ашиглалтад орно. 50% урьдчилгаа төлөөд, компанийн 36 сарын хүүгүй лизингэд хамрагдах боломжтой.",https://www.unegui.mn/adv/8057158_tumen-amgalan-khotkhond-oron-suuts-khudaldana/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,42.0 м²,16,Хувь лизингтэй,2,Ашиглалтад ороогүй,13,2,,Ботаник,,,,,,Баянзүрх,Хороо 12,12,3.2,42,0.076190476
741,Зайсан 115 сургуулийн 4 өрөө орон сууц,"400 сая ₮
үнэ тохирно",3/25/2024,13:47,7910141,,4 өрөө,"УБ — Хан-Уул, Зайсан","
Eden Apartment-д
4 өрөө орон сууц худалдана.

💫 170 м2;
💫 11/10 давхарт;
💫 Засвар хийсэн;
💫 3 унтлагын өрөө 🛌 +1 хувцасны өрөө
💫 Зочны өрөө;
💫 Гал тогооны өрөө тусдаа: Тавилгатай;
💫 2 ариун цэврийн өрөөтэй 🛁🚿;
💫 Угаалгын өрөөтэй 🧺;
💫 Зүүн, урд, хойд зүгт харсан өрөөтэй. Өдөржин нар тусдаг 🌞
💫 115-р дунд сургуулийн баруун зүгт байрладаг; (2 минут алхах 🚶🏻‍♂️)
💫 Улаанбаатар сувилалын урд зүгт байрлана. (5 минут алхах зайд 🚶🏻‍♂️)

💸 400 сая ( ~2,350,000/метр квадрат)",https://www.unegui.mn/adv/7910141_zaisan-115-surguuliin-khav-4-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2015,Байгаа,Вакум,10,Төмөр,170.0 м²,10,Лизинггүй,5,Ашиглалтад орсон,13,3,,Зайсан,,,,,,Хан-Уул,Зайсан,,400,170,2.352941176
742,Яармаг байрлах шүншиг-3т 3 өрөө,"379 сая ₮
үнэ тохирно",3/25/2024,13:47,8154303,,3 өрөө,"УБ — Хан-Уул, Яармаг","
Яармагт байрлах Шүншиг-3 орон сууцны хотхонд 94.78мкв болон 80.9мкв бүхий 3 өрөө орон сууцнууд худалдана. Дундуур давхарт байрлалтай.
Гал тогоо,үүдний шкаф, унтлагын өрөөнүүдийн тавилга хийгдсэн байдаг.",https://www.unegui.mn/adv/8154303_iaarmag-bairlakh-shunshig-3t-3-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,94.78 м²,9,Банкны лизингтэй,3,Ашиглалтад орсон,13,4,,Яармаг,,,,,,Хан-Уул,Яармаг,,379,94.78,3.99873391
743,Алтай хотхонд 3 өрөө 72.6мкв,196 сая ₮,3/25/2024,13:49,7979157,,3 өрөө,"УБ — Баянгол, Алтай хотхон","
Алтай хотхонд 10/5 давхарт гэрчилгээ бэлэн 3 өрөө байр худалдана.",https://www.unegui.mn/adv/7979157_altai-khotkhond-3-oroo/,Паркет,1 тагттай,2013,Байхгүй,Вакум,10,Бүргэд,72.6 м²,5,Лизинггүй,3,Ашиглалтад орсон,12,59,,Алтай хотхон,,,,,,Баянгол,Алтай хотхон,,196,72.6,2.699724518
744,"Худ,жапан таун хотхонд 137.95 мкв 3 өрөө байр",1.13 Тэрбум ₮,3/25/2024,13:49,7932886,,3 өрөө,"УБ — Хан-Уул, Japan town","
📍ХУД, 15-р хороо, Жапан таун хотхонд 137.95 мкв Оффисын зориулалтаар ашиглаж байсан 3 өрөө орон сууц худалдана.

✨Үнэ: 1,130,000,000₮/ 1мкв-8.2сая/

Нэмэлт мэдээлэл:
▪️137.95 мкв | 1 давхарт
▪️Цонх- зүүн болон хойшоо
▪️Гадагшаа хаалга гаргах боломжтой
▪️Үйлчилгээ болон оффисоор ашиглах боломжтой
▪️Гэрчилгээ бэлэн
▪️Гаднаа террастай",https://www.unegui.mn/adv/7932886_khud-zhapan-taun-khotkhond-137-95-mkv-3-oroo-bair-khudaldana/,Паркет,1 тагттай,2019,Байхгүй,Вакум,16,Төмөр,137.95 м²,1,Лизинггүй,5,Ашиглалтад орсон,12,60,,Хүннү,,,,,,Хан-Уул,Japan town,,1130,137.95,8.191373686
745,"Бзд-26 хороо, encanto town 3 4өрөө байр",5.7 сая ₮,3/25/2024,13:49,8154338,,4 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26","
📍БЗД-26 хороо, Encanto Town -3 /4- өрөө

129-мкв
2- ариун цэврийн өрөөтэй
Хувцасны шкафтай
Урагшаа2, Хойшоо 2 харсан цонхтой

16/8- давхарт
Шууд гэрчилгээ гарна
Бартер сонсоно
Гал Тогооны Тавиалга Үлдэнэ",https://www.unegui.mn/adv/8154338_bzd-26-khoroo-encanto-town-3-4-oroo/,Паркет,2 тагттай,2023,Байхгүй,Вакум,16,Төмөр,129.0 м²,8,Лизинггүй,4,Ашиглалтад орсон,13,1,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,5.7,129,0.044186047
746,Four season village 3 uruu bair 106m2,"3.8 сая ₮
үнэ тохирно",3/25/2024,13:50,7975305,,3 өрөө,"УБ — Баянгол, Алтай хотхон","
Нарны гүүрний баруун талд
Four Season Village B block
16/6 давхарт 106.36м2 зөв зохион байгуулалттай зүүн урагш, зүүн болон хойш харсан харууцтай. Мастер унтлагын өрөөтэй 3 өрөө байр худалдана.",https://www.unegui.mn/adv/7975305_four-season-village/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Төмөр,106.36 м²,6,Лизинггүй,5,Ашиглалтад орсон,12,57,,Алтай хотхон,,,,,,Баянгол,Алтай хотхон,,3.8,106.36,0.035727717
747,Хүүхдийн 100д 2 өрөө,"220 сая ₮
үнэ тохирно",3/25/2024,13:50,8154345,,2 өрөө,"УБ — Сүхбаатар, Хүүхдийн 100",,https://www.unegui.mn/adv/8154345_khuukhdiin-100/,Паркет,Тагтгүй,1990,Байхгүй,Вакум,9,Бүргэд,54.0 м²,1,Лизинггүй,3,Ашиглалтад орсон,12,58,,,,,,,,Сүхбаатар,Хүүхдийн 100,,220,54,4.074074074
748,Удирдлагын академийн урд эрдэнийн төгөл хотхонд 3 өрөө орон сууц,430 сая ₮,3/25/2024,13:51,8154356,,4 өрөө,"УБ — Хан-Уул, Удирдлагын Академи","
#FORSALE #ХУДАЛДАНА
👉#УДИРДЛАГЫН АКАДЕМИЙН урд #Эрдэнийн төгөл хотхоны баруун талд #Ривер #хиллс хотхонд 3 өрөө орон сууц худалдана.
✅ ҮНЭ: 430 сая / доод үнэ /

▪️Нийт талбайн хэмжээ 115мкв
▪️5/2 давхарт
▪️Мастер унтлагын өрөөтэй
▪️Урагшаа , зүүн, хойшоо харсан цонхны харууцтай

👉1 машины дулаан зогсоол бэлэглэнэ
👉Бартерт 30% Тоёотогийн машин сонсоно.",https://www.unegui.mn/adv/8154356_udirdlagyn-akademiin-urd-erdeniin-togol-khotkhond-3-oroo-oron-suuts-khudaldana/,Паркет,2 тагттай,2011,Байхгүй,Вакум,5,Бүргэд,115.0 м²,2,Лизинггүй,5,Ашиглалтад орсон,12,56,,,,,,,,Хан-Уул,Удирдлагын Академи,,430,115,3.739130435
749,Platinum tower 5 өрөө байр,1.22 Тэрбум ₮,3/25/2024,13:53,7992393,,5+ өрөө,"УБ — Хан-Уул, 120 мянгат","
Platinum Tower 161.64 мк.в 5 өрөө байрыг худалдахаар санал болгож байна.
Энхтайвны гүүрний баруун талд нарны зам дагуу
- Мк.в-7,550 сая
- 2 граш болон агуулахтай (тусдаа үнэтэй)
- 23/10давхарт
- Нүүж ороход бэлэн
- 1-р сургууль, Сант сургууль, Орос-3 , Элит сургууль",https://www.unegui.mn/adv/7992393_platinum-tower-5-oroo-bair-khudaldana/,Мод,2 тагттай,2024,Байгаа,Вакум,23,Бүргэд,161.64 м²,10,Банкны лизингтэй,7,Ашиглалтад орсон,12,55,,120 мянгат,,,,,,Хан-Уул,120 мянгат,,1220,161.64,7.547636724
750,Gerlug vista хотхонд 123м2 4 өрөө,824 сая ₮,3/25/2024,13:55,8129174,,4 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 18","
Гэрлүг Виста 123мк 4 өрөө байр зарна.
- К8, 3 давхарт, урагшаа,баруун, зүүн
- Айл амьдраагүй шинэ
- Мк: 6,7 сая Нийт: 824 сая",https://www.unegui.mn/adv/8129174_gerlug-vista-khotkhond-123m2-4-oroo/,Паркет,2 тагттай,2023,Байхгүй,Вакум,23,Төмөр,123.0 м²,3,Банкны лизингтэй,7,Ашиглалтад орсон,12,54,,,,,,,,Хан-Уул,Хороо 18,18,824,123,6.699186992
751,Мандала 360 пентхаус 251м2,1.75 Тэрбум ₮,3/25/2024,13:56,7589436,,5+ өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26",,https://www.unegui.mn/adv/7589436_mandala-360-pentkhaus/,Паркет,1 тагттай,2023,Байгаа,Вакум,24,Төмөр,251.0 м²,24,Банкны лизингтэй,8,Ашиглалтад орсон,12,52,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,1750,251,6.972111554
752,Платинум тауэрд 5 өрөө,1.2 Тэрбум ₮,3/25/2024,13:56,8037071,,5+ өрөө,"УБ — Сүхбаатар, 5-р хороолол","
Платинум тауэрд 5 өрөө нүүж орход бэлэн орон сууц худалдана",https://www.unegui.mn/adv/8037071_khotyn-tovd-5-oroo/,Паркет,2 тагттай,2024,Байгаа,Вакум,24,Төмөр,161.64 м²,9,Лизинггүй,8,Ашиглалтад орсон,12,53,,Цирк,,,,,,Сүхбаатар,5-р хороолол,,1200,161.64,7.423904974
753,Хотын төв багшийн дээдийн хажууд авзага байранд 3 өрөө орон сууц,292.95 сая ₮,3/25/2024,13:57,8154384,,3 өрөө,"УБ — Сүхбаатар, Сүхбаатар, Хороо 8","
#FORSALE#ХУДАЛДАНА
👉#Хотын төвд #Багшийн их сургуулийн хойно Авзагын байранд 3 өрөө орон сууц худалдана.



✅ 1 мкв нь 3.500.000
ҮНЭ : 292.950.000

▪️9/9 давхарт
▪️Талбайн хэмжээ 83.7 мкв
▪️Саруулхан өрөөнүүд урт тагттай
▪️Баруун, урагшаа, зүүн харсан цонхтой
▪️Хийцлэл бүрэн цутгамал

💯 Гэрчилгээ бэлэн
Бэлэн болон Банкаар авах боломжтой.",https://www.unegui.mn/adv/8154384_khotyn-tov-bagshiin-deediin-khazhuud-avzaga-bairand-3-oroo-oron-suuts-khudaldana/,Паркет,2 тагттай,2008,Байхгүй,Вакум,9,Бүргэд,83.7 м²,9,Лизинггүй,3,Ашиглалтад орсон,12,50,,11-р хороолол,,,,,,Сүхбаатар,Хороо 8,8,292.95,83.7,3.5
754,"Яармаг cedar city хотхонд 148,14мкв 4 өрөө орон сууц",459.21 сая ₮,3/25/2024,13:57,7796689,,4 өрөө,"УБ — Хан-Уул, Яармаг","
Яармаг, CEDAR City Хотхонд 148,14мкв 4өрөө орон сууц худалдана.
Мкв : 3,1сая

Мастер Унтлагын өрөөтэй.
7 давхарт Урагшаа, Зүүн, Хойшоо харсан цонхтой.",https://www.unegui.mn/adv/7796689_iaarmag-cedar-city-khotkhond-148-14mkv-4oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2022,Байхгүй,Вакум,16,Бүргэд,148.0 м²,7,Лизинггүй,6,Ашиглалтад орсон,12,51,,Яармаг,,,,,,Хан-Уул,Яармаг,,459.21,148,3.10277027
755,"Гэмтэл, 54-р сургуулийн баруун талд 78 мкв 2 өрөө",215 сая ₮,3/25/2024,13:58,8119042,,2 өрөө,"УБ — Баянгол, 3, 4 хороолол","
Гэмтлийн эмнэлгийн голын замд 54-р сургуулийн баруун талд Намуун дэнж хотхонд 78 мкв 2 өрөө байр зарна.
- Зүүн харсан цонхтой.
- Дулаан граш 15 сая.",https://www.unegui.mn/adv/8119042_gemtel-54-r-surguuliin-baruun-tald-78-mkv-2-oroo/,Паркет,1 тагттай,2014,Байгаа,Вакум,11,Бүргэд,78.0 м²,7,Лизинггүй,3,Ашиглалтад орсон,12,49,,"3, 4 хороолол",,,,,,Баянгол,"3, 4 хороолол",,215,78,2.756410256
756,Яармаг арцат апартмент2 хотхонд 79мкв 3 өрөө,222.88 сая ₮,3/25/2024,14:00,8142938,,3 өрөө,"УБ — Хан-Уул, Яармаг","
ХУД ,23-р хороо Арцат апартмент 2 хотхонд мастертай 79,6 мкв 3 өрөө орон сууц худалдана .

ҮХХ мкв үнэ: 2,8 сая
- Гэрчилгээ бэлэн тул банкаар авах боломжтой
- Цоо шинэ
- Баруун харсан нарны тусгал сайн
- 2 А/Ц өрөөтэй
- Давхарын сонголт : 9 давхарт",https://www.unegui.mn/adv/8142938_iaarmag-artsat-apartment2-khotkhond-79mkv-3-oroo-khudaldana/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,79.0 м²,9,Лизинггүй,3,Ашиглалтад орсон,12,47,,Яармаг,,,,,,Хан-Уул,Яармаг,,222.88,79,2.821265823
757,"Бгд, есөн эрдэнэ хотхонд 82.61мкв 3 өрөө",380 сая ₮,3/25/2024,14:00,7992428,,3 өрөө,"УБ — Баянгол, Нарны хороолол","
Нарны хорооллын яг хойно есөн эрдэнэ хотхоны хамгийн сүүлд ашиглалтанд орсон шилэн фасадтай 82.61 мкв 3 өрөө байр зарна.

- Давхартаа 2 айлтай

- Улсын сургууль цэцэрлэгтэй

- Ашиглалтанд ороод 1 жил болсон

- Бүх өрөө дорож, ханын шкафтай

- Тагт рэклэсэн

- 2 ариун цэврийн өрөөтэй.",https://www.unegui.mn/adv/7992428_narny-khoroollyn-khoino-eson-erdene-khotkhond-82-61mkv-3-oroo/,Паркет,1 тагттай,2022,Байхгүй,Вакум,10,Төмөр вакум,82.61 м²,3,Лизинггүй,3,Ашиглалтад орсон,12,48,,Нарны хороолол,,,,,,Баянгол,Нарны хороолол,,380,82.61,4.59992737
