N,Зарын гарчиг,Нийт үнэ 0,Огноо,Цаг,Зарын дугаар,Утасны дугаар,Өрөө,Дүүрэгт байршил,Тайлбар,url,Шал:,Тагт:,Ашиглалтад орсон огноо,Гараж:,Цонх:,Барилгын давхар,Хаалга:,М2 0,Байрны давхар,Лизингээр авах боломж,Цонхны тоо,Барилгын явц:,ad_page,ad_order,Код:,location:,mylocation,Хотхоны ID,Хотхоны нэр,Дэд байршил,Lat,Long,Дүүрэг,Байршил,Хороо,Нийт үнэ,М2,М2 үнэ
301,1 эмнэлэгийн урд 4 өрөө,620 сая ₮,3/10/2024,14:06,8096310,,4 өрөө,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1","
📍 Хотын төвд 1 эмнэлэгийн урд 4 өрөө байр худалдана.

•4 өрөө
•148.6м2
•7/7 давхарт
•мастер унталгын өрөөтэй
•2 а/ц өрөөтэй
•урагшаа 2, баруун 3, хойшоо 1 харсан цонхнуудтай
•гадаа машины зогсоол томтой
•Л asИФФТЭЙ | 6 давхар хүртэл

🎁 Байр авсан айлдаа дулаан зогоолоо үнэгүй өгнө
ҮНЭ: 620 сая | м2: 4,170,000",https://www.unegui.mn/adv/8096310_1-emnelegiin-urd/,Паркет,1 тагттай,2007,Байгаа,Вакум,7,Бүргэд,148.6 м²,7,Лизинггүй,6,Ашиглалтад орсон,8,24,,,Талбай,,,,,,Сүхбаатар,Хороо 1,1,620,148.6,4.172274563
302,Худ time square хотхонд 4 өрөө,932.25 сая ₮,3/10/2024,14:05,7765306,,4 өрөө,"УБ — Хан-Уул, River Garden","
📍ХУД, 11-р хороо 𝐓𝐢𝐦𝐞 𝐬𝐪𝐮𝐚𝐫𝐞 хотхонд 𝟏𝟔𝟓м² 𝟓өрөө орон сууц худалдана.

Үнэ: м² нь 5.5сая₮
Нийт: 932,250,000

☘️ 𝟏6/3 давхарт
☘️ 2 ариун цэврийн өрөөтэй
☘️ Баруун, зүүн, урагш харсан цонхтой
☘️ Хананд суурилсан тавилгууд үлдэнэ
☘️ 2 дулаан зогсоолтой тус бүр 53 сая",https://www.unegui.mn/adv/7765306_khud-time-square-khotkhond-4-oroo/,Паркет,1 тагттай,2015,Байгаа,Вакум,16,Төмөр,169.0 м²,3,Лизинггүй,5,Ашиглалтад орсон,8,25,,,Маршал,,,,,,Хан-Уул,River Garden,,932.25,169,5.516272189
303,Худ 17-хороо river garden1 хотхон 174мкв 5 өрөө,1.45 Тэрбум ₮,3/10/2024,14:04,7572151,,5+ өрөө,"УБ — Хан-Уул, River Garden","
ХУД 17-р хороо
Маршлын гүүрний баруун талд
Номин Констракшн бүтээн байгуулалт
Ривер Гарден 1 хотхон
*174,2 мкв
*5 өрөө 2 зогсоолтой 1 задгай балконтой
*Урагшаа харсан 5н цонхтой
*Зүүн тийшээ харсан 2 цонхтой
*Хойшоо харсан 1 цонхтой 1 битүү балконтой
*Хувцасны өрөөтэй
*Ажлын өрөөтэй
*10/7 давхар
*Харууц маш сайтай бүрэн засвартай байр худалдана.
*Байрны нийт үнэ 1.450.000.000₮
*1мкв үнэ 7.750.000₮
*2 зогсоол нийлээд 100.000.000₮",https://www.unegui.mn/adv/7572151_khud-17-khoroo-river-garden1-khotkhon-174mkv-5-oroo/,Паркет,2 тагттай,2016,Байгаа,Вакум,10,Төмөр,174.0 м²,7,Лизинггүй,5,Ашиглалтад орсон,8,26,,,Маршал,,,,,,Хан-Уул,River Garden,,1450,174,8.333333333
304,2 өрөө орон сууц,"180 сая ₮
үнэ тохирно",3/10/2024,14:04,8108305,,2 өрөө,УБ — Сүхбаатар,"
тохилог дулаахан 2 өрөө орон сууцыг зарна",https://www.unegui.mn/adv/8108305_2-oroo-oron-suuts-zarna/,Паркет,1 тагттай,2016,Байхгүй,Вакум,12,Бүргэд,60.0 м²,9,Лизинггүй,3,Ашиглалтад орсон,8,27,,,,,,,,,Сүхбаатар,,,180,60,3
305,Яармаг belmonte1 168m² 4 өрөө,775.51 сая ₮,3/10/2024,14:04,8031064,,4 өрөө,"УБ — Хан-Уул, Яармаг","
ХУД 4-р хороо Belmonte luxury residence 1
168.59m² 4 өрөө
775,514,000₮
1мкв нь 4,600,000₮
10FL
Баруун зүүн харсан цонхтой
Гэрчилгээ бэлэн
Төлбөрийн нөхцөл: бэлэн болон банкаар",https://www.unegui.mn/adv/8031064_iaarmag-belmonte1-168m2-4-oroo/,Паркет,1 тагттай,2019,Байгаа,Вакум,10,Төмөр,168.0 м²,10,Лизинггүй,6,Ашиглалтад орсон,8,28,,,Яармаг,,,,,,Хан-Уул,Яармаг,,775.51,168,4.616130952
306,"Зайсанд, golden buddha 77мкв 2 өрөө байр",435 сая ₮,3/10/2024,14:02,8108312,,2 өрөө,"УБ — Хан-Уул, Зайсан","
- 15/12давхарт
- Хойшоо харсан цонхтой
- Хувцасны өрөөтэй

Үнэ: 435сая",https://www.unegui.mn/adv/8108312_zaisand-golden-buddha-77mkv-2-oroo-bair-khudaldana/,Паркет,1 тагттай,2020,Байхгүй,Вакум,15,Бүргэд,77.0 м²,12,Лизинггүй,3,Ашиглалтад орсон,8,29,,,Зайсан,,,,,,Хан-Уул,Зайсан,,435,77,5.649350649
307,Модны 2 т төв замтайгаа ойр гал тогоо тусдаа 3 өрөө байр,188 сая ₮,3/10/2024,14:00,8044976,,3 өрөө,"УБ — Баянгол, Баянгол, Хороо 18","
Модны 2 т төв зам дагуу, засвар хийсэн шууд нүүж ороход бэлэн гал тогоо тусдаа, дулаахан, сургууль, цэцэрлэгтэй ойр 3 өрөө байр зарна.",https://www.unegui.mn/adv/8044976_modny-2-t-tov-zamtaigaa-oir-zasvar-khiisen-dulaakhan-gal-togoo-tusdaa-3-oroo-bair/,Паркет,2 тагттай,1988,Байхгүй,Вакум,5,Бүргэд,78.0 м²,5,Лизинггүй,4,Ашиглалтад орсон,8,30,,,Модны 2,,,,,,Баянгол,Хороо 18,18,188,78,2.41025641
308,"Бзд, Мандах наран хотхонд 120м² пентхаус 3 өрөө","2.7 сая ₮
үнэ тохирно",3/10/2024,13:54,8050547,,3 өрөө,"УБ — Баянзүрх, 14-р хороолол","
🏢 Халдвартын эмнэлгийн зүүн талд байрлах Мандах Наран хотхон, орон сууцны дээд давхарт 120м² пентхаус 3 өрөө орон сууц худалдана.

Айл амьдраагүй шинэ
Гэрчилгээ бэлэн
1мкв - 2.700.000₮
😲Маш хямд үнэ

✔100% Бүрэн цутгамал хийцлэл
✔Талбайн хэмжээ: 110м²
✔3 өрөө, харууц маш гоё
✔Баруун 3, урагш 1 цонх
✔Гадагшаа террас хийх боломжтой
✔Мастер унтлагын өрөө

☑ Өндөр тааз 
☑ Том цэлгэр цонх
☑ Герман стандартын тоноглол
☑ Автомат бэдитэй суултуур
☑ Smart цоож
☑ Банн, душ 2 ариун цэврийн өрөө",https://www.unegui.mn/adv/8050547_bzd-khaldvartyn-etses-mandakh-naran-khotkhond-110m2-pentkhaus-khudaldana/,Паркет,Тагтгүй,2023,Байхгүй,Вакум,16,Бүргэд,110.0 м²,16,Лизинггүй,4,Ашиглалтад орсон,8,31,,,"Жуков, Халдварт, Өгөөмөр",,,,,,Баянзүрх,14-р хороолол,,2.7,110,0.024545455
309,Хотын b бүс бөхийн өргөөний хойно 𝟏𝟑хороололд төв зам дагуу 𝟔𝟗.𝟓мкв 𝟐 өрөө,257.15 сая ₮,3/10/2024,13:54,8040284,,2 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 3","
Хотын төвийн В бүс БЗД, 3р хороо, 13хороолол сайд нарын 2р эмнэлэгийн баруун урд төв зам дагуу 69.5мкв 2 өрөө байр худалдана.

| үнэ1мкв:3.700.000|нийт:257.150.000(доод үнэ)

▪️дээгүүр давхарт
▪️1 Хувцасны өрөөтэй
▪️1ажлын өрөөтэй
▪️1 унтлагын өрөөтэй
▪️Хойшоо харсан
▪️бүрэн засвар хийгдсэн
▪️дулаан зогсоол тусдаа:35сая

хотхондоо 28 айлтай, доороо дулаан зогсоолтой, дулаахан

Байршил:13хороолол, бөхийн өргөөний замын хойно Golden pen-ны замын эсрэг талд",https://www.unegui.mn/adv/8040284_khotyn-aaa-bus-bzd-13khoroolold-tov-zam-daguu-69-5mkv-2-oroo-bair-zarna/,Паркет,Тагтгүй,2009,Байгаа,Вакум,11,Бүргэд,69.5 м²,8,Лизинггүй,5,Ашиглалтад орсон,8,32,,,Сансар,,,,,,Баянзүрх,Хороо 3,3,257.15,69.5,3.7
310,Sky garden_residence 4 өрөө байр 159m2,"1.33 Тэрбум ₮
үнэ тохирно",3/10/2024,13:53,7857138,,4 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15","
#Sky_Garden_residence 4 өрөө байр худалдана.

☎️|📌Нийт үнэ 1 тэрбум 330 сая

159 мкв| 5 давхарт | Баруун зүүн урагшаа харсан харууцтай
- 3 унтлагын өрөө
- 3 ариун цэврийн өрөө
- Саунтай
- Зочны өрөө том саруулхан
- Харууц гоё
- Дулаан зогсоол 80 сая /тусдаа үнэтэй/",https://www.unegui.mn/adv/7857138_sky-garden-residence-4-oroo-bair-khudaldana/,Паркет,1 тагттай,2022,Байгаа,Вакум,16,Бүргэд,159.0 м²,5,Банкны лизингтэй,4,Ашиглалтад орсон,,,,,Зайсан хойно,,,,,,Хан-Уул,Хороо 15,15,1330,159,8.364779874
311,"Зайсан, buddha 𝐯𝐢𝐬𝐭𝐚 хотхонд 𝟑𝟕.𝟒𝟗мкв 𝟐 өрөө орон сууц","320 сая ₮
үнэ тохирно",3/10/2024,13:53,8032465,,2 өрөө,"УБ — Хан-Уул, Зайсан","
Зайсан, 𝐁𝐮𝐝𝐝𝐡𝐚 𝐯𝐢𝐬𝐭𝐚 хотхонд 𝟑𝟕.𝟒𝟗мкв 𝟐 өрөө орон сууц худалдана.

|📌 Үнэ:𝟏мкв:𝟖.𝟓𝟑𝟔.𝟎𝟎𝟎|Нийт:𝟑𝟐𝟎сая

▪️𝟐 давхарт
▪️Зүүн харсан 𝟐 цонхтой
▪️Хананд суурилагдсан тавилгууд болон цахилгаан бараанууд үлдэнэ.",https://www.unegui.mn/adv/8032465_zaisan-buddha-vista-khotkhond-37-49mkv-2-oroo-oron-suuts-khudaldana/,Паркет,Тагтгүй,2010,Байхгүй,Вакум,15,Бүргэд,37.49 м²,2,Банкны лизингтэй,2,Ашиглалтад орсон,8,33,,,Зайсан,,,,,,Хан-Уул,Зайсан,,320,37.49,8.535609496
312,"Худ, 𝟏𝟓-р хороо 𝐕𝐄𝐆𝐀 𝐂𝐈𝐓𝐘 хотхонд 𝟖𝟒.𝟔 мкв 𝟑 өрөө","617 сая ₮
үнэ тохирно",3/10/2024,13:53,7891361,,3 өрөө,"УБ — Хан-Уул, Japan town","
ХУД, 𝟏𝟓-р хороо, ‘’𝐕𝐄𝐆𝐀 𝐂𝐈𝐓𝐘’’хотхонд 𝟖𝟒.𝟔 мкв 𝟑 өрөө цоо шинэ орон сууц худалдана

Үнэ:𝟏мкв:𝟕.𝟐𝟗𝟑.𝟎𝟎𝟎|Нийт 𝟔𝟏𝟕 сая

▪️𝟏𝟐 давхарт
▪️𝟐ариун цэврийн өрөө
▪️Мастер унтлагийн өрөө
▪️хойшоо харсан цонхтой
▪️Шинээр ашиглалтанд орсон
▪️захиалгын гэрээ шилжүүлнэ

📍Байршил:ХУД, 𝐄𝐦𝐚𝐫𝐭-ын баруун талд байрлалтай",https://www.unegui.mn/adv/7891361_khud-15-r-khoroo-vega-city-khotkhond-84-6-mkv-3-oroo-shine-oron-suuts-khudaldana/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,84.6 м²,12,Банкны лизингтэй,3,Ашиглалтад орсон,8,34,,,Хүннү,,,,,,Хан-Уул,Japan town,,617,84.6,7.293144208
313,Гэгээнтэн хотхонд 94мкв 3 өрөө орон сууц,"451.2 сая ₮
483.79 сая ₮ үнэ тохирно",3/10/2024,13:53,7755225,,3 өрөө,"УБ — Хан-Уул, 120 мянгат","
Гэгээнтэн хотхонд 94мкв 3 өрөө худалдана.
📌үнэ: мкв-4.800.000₮/ 451.200.000₮
Төлбөрийн нөхцөл: Бэлэн болон банк
◼94,86кмв
◼12/7 давхарт
◼Баруун харсан цонхтой
◼2014 онд ашиглалтанд орсон",https://www.unegui.mn/adv/7755225_gegeenten-khotkhond-94mkv-3oroo-oron-suuts-borluulna-88024141/,Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Бүргэд,94.0 м²,7,Банкны лизингтэй,3,Ашиглалтад орсон,8,35,,,120 мянгат,,,,,,Хан-Уул,120 мянгат,,451.2,94,4.8
314,"Шинэ монгол сургуулийн урд 77,5 мкв 3 өрөө байр","260 сая ₮
280 сая ₮ үнэ тохирно",3/10/2024,13:53,7891284,,3 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 25","
Нарны зам дагуу Шинэ монгол сургуулийн урд 77,5 мкв 3 өрөө байр худалдана.
Үнэ:1мкв:3.354.000|Нийт:260сая

➡️12/7 давхарт
➡️Хойшоо болон зүүн харсан цонхтой , 1 тагттай
➡️ Супер засвар хийсэн
➡️ Шинэ гал тогооны тавилга болон ,үүдний шкаф үлдэнэ",https://www.unegui.mn/adv/7891284_narny-zam-daguu-shine-mongol-surguuliin-urd-77-5-mkv-3-oroo-bair-khudaldana/,Паркет,1 тагттай,2011,Байхгүй,Вакум,12,Бүргэд,77.5 м²,7,Банкны лизингтэй,4,Ашиглалтад орсон,8,36,,,Натур,,,,,,Баянзүрх,Хороо 25,25,260,77.5,3.35483871
315,Shangri-la mall-н зүүн талд olympic residence 4 өрөө байр,"1.6 Тэрбум ₮
1.7 Тэрбум ₮ үнэ тохирно",3/10/2024,13:52,6587996,,4 өрөө,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",,https://www.unegui.mn/adv/6587996_olympic-residence-d-shine-4-oroo-oron-suuts-khudaldana/,Паркет,Тагтгүй,2018,Байгаа,Вакум,16,Бүргэд,205.0 м²,14,Лизинггүй,8,Ашиглалтад орсон,8,37,,,Талбай,,,,,,Сүхбаатар,Хороо 1,1,1600,205,7.804878049
316,Баянбүрдийн тойргийн урд 1 өрөө 43м2,115 сая ₮,3/10/2024,13:50,7972115,,1 өрөө,"УБ — Чингэлтэй, Баянбүрд","
📍Баянбүрдийн тойргийн урд 1 өрөө байр худалдана.

✅ 43.2м2 | 115сая
✅ 5/10 давхарт
✅ Зүүн харууцтай 1 цонхтой
✅ Гэрчилгээ бэлэн",https://www.unegui.mn/adv/7972115_baianburdiin-toirgyn-urd-1-oroo-khudaldana/,Паркет,Тагтгүй,2008,Байхгүй,Вакум,10,Төмөр,43.0 м²,5,Банкны лизингтэй,1,Ашиглалтад орсон,8,38,,,Баянбүрд,,,,,,Чингэлтэй,Баянбүрд,,115,43,2.674418605
317,Хан-уул дүүргийн 15-р хороо global town residence 147.24мкв 4 өрөө,809.82 сая ₮,3/10/2024,13:47,8108269,,4 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15","
Хан-Уул дүүргийн 15-р хороо Global Town Residence 4 сард ашиглалтанд орох С блокд 147.24мкв 4 өрөө зарна.

|📌 Үнэ:1мкв:5.500.000|Нийт:809.820.000

▪️22/7 давхарт
▪️Цонх зүүн болон урагш

Байршил:Наадам центр, Сансар, Номин супермаркет ойролцоо

Төлбөрийн нөхцөл: Банкны энгийн орон сууцны зээлээр авах боломжтой",https://www.unegui.mn/adv/8108269_khan-uul-duurgiin-15-r-khoroo-global-town-residence-147-24mkv-4-oroo-khudaldana/,Паркет,Тагтгүй,2024,Байхгүй,Вакум,23,Бүргэд,147.24 м²,7,Лизинггүй,5,Ашиглалтад ороогүй,8,39,,,Зайсан хойно,,,,,,Хан-Уул,Хороо 15,15,809.82,147.24,5.5
318,25-р эмийн сан kfc-ийн хойно 68.99мкв 2 өрөө байр,180 сая ₮,3/10/2024,13:46,8108261,,2 өрөө,"УБ — Баянгол, 25-р эмийн сан","
25-р эмийн сан KFC-ийн чанх хойно 51-р сургуулийн хажууд 68.99мкв 2 өрөө
-Баруун харсан 2 цонхтой, хойшоо харсан 1цонхтой
-Үйлчилгээний төвүүдтэй ойрхон
-Улсын сургууль, цэцэрлэг ойрхон",https://www.unegui.mn/adv/8108261_25-r-emiin-san-kfc-iin-khoino-68-99mkv-2-oroo-bair/,Паркет,1 тагттай,2010,Байхгүй,Вакум,5,Бүргэд,68.99 м²,5,Лизинггүй,2,Ашиглалтад орсон,8,40,,,25-р эмийн сан,,,,,,Баянгол,25-р эмийн сан,,180,68.99,2.609073779
319,Цамбагарав 14-р байранд 3 өрөө байр 80м2,"180 сая ₮
үнэ тохирно",3/10/2024,13:46,8108205,,3 өрөө,"УБ — Сонгинохайрхан, 1-р хороолол","
1-р хороолол 14-р байр 6-р орц 4 давхарт 3 өрөө урагшаа хойшоо харсан цонхтой гадна пассад хийсэн маш дулаахан тохилог байр зарна",https://www.unegui.mn/adv/8108205_tsambagarav-14-r-bairand-3-oroo-bair-zarna/,Паркет,2 тагттай,1989,Байхгүй,Вакум,9,Бүргэд,80.0 м²,4,Лизинггүй,4,Ашиглалтад орсон,8,41,,,1-р хороолол,,,,,,Сонгинохайрхан,1-р хороолол,,180,80,2.25
320,Royal castle хотхонд 240мкв орон сууц 5 өрөө,800 сая ₮,3/10/2024,13:45,8072922,,5+ өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 1","
Royal castle хотхонд 240мкв орон сууц худалдана.

- 12/4 давхарт байрлалтай
- Сансарын E-mart-н хойно байрлалтай
- Хотын төвдөө ойрхон
- Эргэн тойрон сургууль цэцэрлэг үйлчилгээний байгууллага ихтэй
- Худалдаж аваад түрээслүүлэх сонирхолтой бол одоо 6саяаар түрээслүүлдэг бэлэн түрээслэгчтэй
- 2 дулаан зогсоолтой 1 нь тусдаа 40сая₮
- Үнэ: 800сая₮
- 2 том ариун цэврийн өрөө
- 4 том унтлаганы өрөөтэй саруулхан том
- Өвөл маш дулаахан",https://www.unegui.mn/adv/8072922_royal-castle-khotkhond-240mkv-oron-suuts-khudaldana/,Паркет,3+ тагттай,2006,Байгаа,Вакум,12,Төмөр,240.0 м²,4,Банкны лизингтэй,8,Ашиглалтад орсон,1,5,,,СЭЗИС,,,,,,Баянзүрх,Хороо 1,1,800,240,3.333333333
321,Agartha residence-д 52.37той 2 өрөө,167.58 сая ₮,3/10/2024,13:43,8108254,,2 өрөө,"УБ — Хан-Уул, Яармаг","
Agartha Residence-д 52.37той 2 өрөө орон сууц худалдана

- 3 болон 9 давхарт
- Баруун харсан цонхнуудтай
- Ашиглалтанд орсон 101-р байр
- 1мкв үнэ: 3.200.000₮",https://www.unegui.mn/adv/8108254_agartha-residence-d-52-37toi-2-oroo-oron-suutsnuud-khudaldana/,Паркет,1 тагттай,2024,Байгаа,Вакум,12,Төмөр,52.37 м²,9,Лизинггүй,2,Ашиглалтад орсон,8,42,,,Яармаг,,,,,,Хан-Уул,Яармаг,,167.58,52.37,3.19992362
322,"Нисэхийн хүрээ хотхон 64,32м2 3 өрөө","2.75 сая ₮
үнэ тохирно",3/10/2024,13:41,8108215,,3 өрөө,"УБ — Хан-Уул, Нисэх","
3 өрөө Нисэхийн хүрээ хотхон 301р байр
5давхар 20тоот байр зарна.
64.32мкв
1мкв=2.750.000
Гал тогоо болон стинк дагалдана.
2 нойлтой.
Машин оролцож болно",https://www.unegui.mn/adv/8108215_bair-zarna/,Паркет,1 тагттай,2021,Байхгүй,Вакум,16,Бүргэд,64.32 м²,5,Лизинггүй,3,Ашиглалтад орсон,8,43,,,Нисэх,,,,,,Хан-Уул,Нисэх,,2.75,64.32,0.042754975
323,"Бзд, 97 р сургуулийн хажууд гал тогоо тусдаа 1 өрөө байр",100 сая ₮,3/10/2024,13:41,8108187,,1 өрөө,"УБ — Баянзүрх, Сансар","
Бүх цонх урагшаа харсан, маш дулаахан, гал тогоо тусдаа.
Гаднаа хангалттай машины зогсоолтой, урд талдаа тоглоомийн талбай, баруун талдаа спорт талбайтай. Сөх сайн ажилладаг. Галтогооны тавилга шинээрээ.",https://www.unegui.mn/adv/8108187_bzd-97-r-surguuliin-khazhuud-gal-togoo-tusdaa1-oroo-bair/,Паркет,Тагтгүй,1990,Байхгүй,Вакум,5,Бүргэд,36.0 м²,5,Лизинггүй,2,Ашиглалтад орсон,8,44,,,Сансар,,,,,,Баянзүрх,Сансар,,100,36,2.777777778
324,"Худ, 19-р хороо, грийн хаусын баруун талд 24р байранд 3 өрөө",330 сая ₮,3/10/2024,13:40,8044481,,3 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15","
📌ХУД, 19-р хороо, Грийн хаусын баруун талд 24/5 байранд 3 өрөө орон сууц худалдана.

✅Үнэ: 330сая ₮
📌Нөхцөл: Бэлэн болон банк, ипотек боломжтой.



✅2014 онд ашиглалтанд орсон
✅Липттэй 6 давхарын 6 давхарт
✅Баруун болон хойшоо харсан 4 цонх, 2 тагттай
✅Улсын болон хувийн сургууль цэцэрлэгтэй ойр
✅Граж байхгүй
✅Засвар хийгдсэн







MLS -119048220-03",https://www.unegui.mn/adv/8044481_khud-19-r-khoroo-griin-khausyn-baruun-tald-24r-bairand-3-oroo-oron-suuts-khudaldana/,Паркет,2 тагттай,2014,Байхгүй,Вакум,6,Бүргэд,83.0 м²,6,Банкны лизингтэй,4,Ашиглалтад орсон,8,45,,,Зайсан хойно,,,,,,Хан-Уул,Хороо 15,15,330,83,3.975903614
325,"Худ, 11-р хороо seven star residence хотхонд 52.02мкв 2 өрөө",241.89 сая ₮,3/10/2024,13:40,8060812,,2 өрөө,"УБ — Хан-Уул, Зайсан","
ХУД, Зайсан Seven Star residence-д шинэ ашиглалтанд орсон 52.02мкв 2 өрөө орон сууц худалдана

✅️14давхарт
✅️Урагшаа харсан 2 цонхтой
✅️Гадна зогсоол сайтай
✅️Таазнаас шал хүртэл цэлгэр цонх",https://www.unegui.mn/adv/8060812_khud-11-r-khoroo-seven-star-residence-khotkhond-52-02mkv-2-oroo-khudaldana/,Паркет,Тагтгүй,2024,Байхгүй,Вакум,15,Бүргэд,52.02 м²,14,Лизинггүй,2,Ашиглалтад орсон,8,46,,,Зайсан,,,,,,Хан-Уул,Зайсан,,241.89,52.02,4.64994233
326,"Бгд, 24-р хороо, шинэ алтай хотхонд 76.35мкв 3 өрөө орон сууц",251.96 сая ₮,3/10/2024,13:40,8101733,,3 өрөө,"УБ — Баянгол, Баянгол, Хороо 23","
БГД, 24-р хороо, Altai Residence хотхонд 76.35 м.кв 3 өрөө орон сууц худалдана

✅16/8 давхарт
✅ Зүүн харсан 3 цонх
✅ 1 ариун цэврийн өрөө
✅ 2 унтлагын өрөө
✅Цэлгэр зочны өрөө
-Гал тогооны тавилга дагалдахгүй

📌Үнэ : м2 нь 3.3 сая",https://www.unegui.mn/adv/8101733_bgd-24-r-khoroo-shine-altai-khotkhond-76-35mkv-3-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,76.35 м²,8,Лизинггүй,3,Ашиглалтад орсон,8,47,,,Модны 2,,,,,,Баянгол,Хороо 23,23,251.96,76.35,3.300065488
327,"Ханбогд хороололд 2 өрөө орон сууц 72,36м2",191.75 сая ₮,3/10/2024,13:39,8108238,,2 өрөө,"УБ — Хан-Уул, Яармаг","
Ханбогд хороололд 2 өрөө орон сууц худалдана.

- 72.36мкв 2 өрөө
- 12/7 давхарт байрлалтай
- Урагшаа болон баруун харсан
- Цэлгэр том 2 өрөө
- Гал тогооны тавилга, үүдний шкаф, гэрэл хөшигнүүд дагалдана
- 1 дулаан зогсоолтой тусдаа үнэтэй
- Үнэ: 1 мкв 2.650.000₮",https://www.unegui.mn/adv/8108238_khanbogd-khoroolold-2-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2019,Байгаа,Вакум,12,Төмөр,72.36 м²,7,Банкны лизингтэй,2,Ашиглалтад орсон,8,48,,,Яармаг,,,,,,Хан-Уул,Яармаг,,191.75,72.36,2.649944721
328,Бзд х апартмент хотхонд 30м2-тай 1 өрөө байр,95 сая ₮,3/10/2024,13:38,8108195,,1 өрөө,"УБ — Баянзүрх, Офицер","
БЗД Х апартмент хотхонд 30м2-тай Гэрчилгээ бэлэн 1 өрөө байр зарна. 95 сая 6 давхарт зүүн харсан цонхтой.",https://www.unegui.mn/adv/8108195_bzd-kh-apartment-khotkhond-30m2-tai-1-oroo-bair-zarna/,Паркет,1 тагттай,2017,Байхгүй,Вакум,16,Бүргэд,30.0 м²,6,Лизинггүй,1,Ашиглалтад орсон,8,49,,,Офицер,,,,,,Баянзүрх,Офицер,,95,30,3.166666667
329,"Худ, удирдлагын академийн урд 2 өрөө байр 61мкв","250 сая ₮
үнэ тохирно",3/10/2024,13:37,8090131,,2 өрөө,"УБ — Хан-Уул, Зайсан","
ХУД, 17 хороо Удирдлагын академийн урд байрлах Цэцэг хотхонд 2 өрөө байр зарна.
- 2016 онд ашиглалтанд орсон,
- 5/12 давхарт байрладаг,
- Өвөлдөө маш дулаан, шалны халаалттай
- Бүх цонхнууд наран талруугаа харсан,
- Гадна зогсоол сайтай,
- Дуу чимээ багатай, тайван,
- Бүрэн цутгамал, барилгын хийц, орчин сайтай.",https://www.unegui.mn/adv/8090131_khud-udirdlagyn-akademiin-urd-2-oroo-bair-zarna/,Паркет,1 тагттай,2016,Байхгүй,Вакум,12,Бүргэд,61.0 м²,5,Лизинггүй,3,Ашиглалтад орсон,8,50,,,Зайсан,,,,,,Хан-Уул,Зайсан,,250,61,4.098360656
330,Зайсан соёмбо хотхонд 61мкв 2 өрөө,"3.3 сая ₮
үнэ тохирно",3/10/2024,13:37,7620027,,2 өрөө,"УБ — Хан-Уул, Зайсан",,https://www.unegui.mn/adv/7620027_zaisan-soiombo-khotkhond-61mkv-2-oroo-oron-suuts/,Паркет,1 тагттай,2012,Байхгүй,Вакум,6,Төмөр,61.0 м²,4,Лизинггүй,2,Ашиглалтад орсон,8,51,,,Зайсан,,,,,,Хан-Уул,Зайсан,,3.3,61,0.054098361
331,Баянзүрх дүүрэг 26р хороо санто апартмент-д 4 өрөө,"518.7 сая ₮
үнэ тохирно",3/10/2024,13:33,7980824,,4 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26","
📍БЗД 26 хороо Santo Smart apartment 123.5 мкв 4 өрөө орон сууц худалдана. Зохион байгуулалт сайтай, цэвэрхэн байр байна шүү🤞

-Үнэ мкв 4.200.000₮
-Нийт үнэ 518.700.000₮
-123.5 мкв
-16/14 давхарт
-Зүүн 3,Хойшоо 2 цонхтой
-2 ариун цэврийн өрөөтэй
-2 тагттай
-угаалгын өрөөтэй",https://www.unegui.mn/adv/7980824_baianzurkh-duureg-26r-khoroo-santo-apartment-d-mash-goio-kharuutstai-4-oroo-khudaldana/,Паркет,2 тагттай,2022,Байхгүй,Вакум,16,Төмөр,123.5 м²,14,Банкны лизингтэй,5,Ашиглалтад орсон,8,52,,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,518.7,123.5,4.2
